"Country","ContinentCode","Year","GDP","INF","UER","TR","RL","UP","CR","GE","PS","HI","HDI"
"Albania","EU","2015",2.22,3.5,17.19,18.52,-0.3,57.43,-0.52,0.06,2.88,4.96,0.788
"Albania","EU","2020",-3.48,1.6,13.33,17.02,-0.35,62.11,-0.55,-0.12,2.84,5.12,0.795
"Angola","AF","2015",0.94,9.2,7.39,11,-1.01,63.45,-1.41,-0.89,27.88,4.03,0.565
"Angola","AF","2020",-5.5,17.1,8.33,10.09,-0.91,66.82,-0.95,-1.2,32.87,3.8,0.581
"Armenia","AS","2015",3.2,3.7,18.26,20.93,-0.45,63.08,-0.58,-0.28,2.93,4.35,0.748
"Armenia","AS","2020",-7.4,1.2,21.21,21.86,-0.1,63.31,0.02,-0.27,2.96,5.28,0.776
"Australia","OC","2015",2.17,1.5,6.05,21.88,1.82,85.7,1.88,1.56,23.82,7.28,0.933
"Australia","OC","2020",0,0.8,6.46,22.6,1.64,86.24,1.66,1.61,25.69,7.18,0.944
"Austria","EU","2015",1.01,0.9,5.72,26.83,1.84,57.72,1.51,1.48,8.64,7.2,0.906
"Austria","EU","2020",-6.73,1.4,5.36,24.3,1.8,58.75,1.51,1.65,8.92,7.27,0.922
"Azerbaijan","AS","2015",1.09,4,4.96,15.6,-0.7,54.71,-0.93,-0.22,9.65,5.21,0.749
"Azerbaijan","AS","2020",-4.3,2.8,6.46,14.22,-0.72,56.4,-1.06,-0.12,10.09,5.17,0.756
"Bangladesh","AS","2015",6.55,6.2,4.37,8.5,-0.76,34.31,-0.81,-0.73,156.26,4.69,0.588
"Bangladesh","AS","2020",3.45,5.7,5.41,7,-0.56,38.18,-0.98,-0.76,164.69,5.03,0.632
"Belarus","EU","2015",-3.83,13.5,5.84,14.17,-0.86,77.18,-0.29,-0.45,9.46,5.81,0.811
"Belarus","EU","2020",-0.9,5.5,4.77,12.02,-1.05,79.48,-0.11,-0.8,9.38,5.53,0.823
"Belgium","EU","2015",2.04,0.6,8.48,24.35,1.48,97.88,1.51,1.56,11.27,6.94,0.913
"Belgium","EU","2020",-5.68,0.7,5.55,22.12,1.36,98.08,1.48,1.12,11.54,6.83,0.931
